symbol,timestamp,open,high,low,close,volume,transactions
O:SPXW241101C05800000,1730141700000,63.99,63.99,63.99,63.99,1,1
O:SPXW241101C05800000,1730142000000,63.8,63.8,63.8,63.8,6,1
O:SPXW241101C05800000,1730142600000,63.2,63.2,63.2,63.2,1,1
O:SPXW241101C05800000,1730142900000,61.65,61.65,61.65,61.65,1,1
O:SPXW241101C05800000,1730143500000,63.45,63.79,63.45,63.79,2,2
O:SPXW241101C05800000,1730144400000,64.52,64.52,63.85,63.85,11,2
O:SPXW241101C05800000,1730145000000,61.87,61.89,61.87,61.89,10,2
O:SPXW241101C05800000,1730145300000,60.37,60.37,59.23,59.77,12,3
O:SPXW241101C05800000,1730146200000,60.7,60.7,60.7,60.7,6,5
O:SPXW241101C05800000,1730208600000,53.2,53.5,48.43,48.43,19,13
O:SPXW241101C05800000,1730208900000,48.28,48.28,47.2,47.5,33,7
O:SPXW241101C05800000,1730209200000,46.83,49.75,46.83,49.75,44,5
O:SPXW241101C05800000,1730209500000,52.1,52.1,49.75,49.75,2,2
O:SPXW241101C05800000,1730210100000,52.6,53.78,52.6,53.78,2,2
O:SPXW241101C05800000,1730210400000,51.48,58.92,51.48,56.5,39,32
O:SPXW241101C05800000,1730210700000,56.8,56.8,55.39,55.55,44,32
O:SPXW241101C05800000,1730211000000,56.46,58.4,56.46,57.03,21,21
O:SPXW241101C05800000,1730211600000,55.0,62.46,55.0,62.46,16,16
O:SPXW241101C05800000,1730211900000,63.67,64.61,63.67,64.41,10,7
O:SPXW241101C05800000,1730212200000,57.2,57.2,57.2,57.2,1,1
O:SPXW241101C05800000,1730212800000,62.27,62.27,62.27,62.27,1,1
O:SPXW241101C05800000,1730213400000,59.98,61.1,59.98,61.1,14,3
O:SPXW241101C05800000,1730214000000,60.7,60.7,60.7,60.7,8,1
O:SPXW241101C05800000,1730214300000,58.5,58.5,58.5,58.5,8,1
O:SPXW241101C05800000,1730214600000,58.35,58.6,58.35,58.6,8,2
O:SPXW241101C05800000,1730215500000,59.19,59.19,59.19,59.19,1,1
O:SPXW241101C05800000,1730216700000,61.2,61.2,61.2,61.2,7,1
O:SPXW241101C05800000,1730217000000,61.5,61.5,61.5,61.5,1,1
O:SPXW241101C05800000,1730217300000,61.5,61.5,61.5,61.5,1,1
O:SPXW241101C05800000,1730217600000,63.34,63.34,63.34,63.34,5,1
O:SPXW241101C05800000,1730217900000,62.15,62.15,62.15,62.15,1,1
O:SPXW241101C05800000,1730218800000,62.53,62.53,62.53,62.53,1,1
O:SPXW241101C05800000,1730220300000,60.85,61.45,60.85,61.45,2,2
O:SPXW241101C05800000,1730224500000,64.73,64.73,64.73,64.73,1,1
O:SPXW241101C05800000,1730224800000,65.78,65.78,65.78,65.78,1,1
O:SPXW241101C05800000,1730225100000,64.65,64.65,64.65,64.65,1,1
O:SPXW241101C05800000,1730225700000,64.52,64.52,64.52,64.52,1,1
O:SPXW241101C05800000,1730227200000,70.9,70.9,70.9,70.9,2,1
O:SPXW241101C05800000,1730227800000,68.03,68.03,67.74,67.74,2,2
O:SPXW241101C05800000,1730228400000,67.9,67.9,67.9,67.9,1,1
O:SPXW241101C05800000,1730228700000,67.1,67.1,67.1,67.1,1,1
O:SPXW241101C05800000,1730229300000,67.55,67.87,67.55,67.86,3,3
O:SPXW241101C05800000,1730229600000,68.79,68.79,68.79,68.79,1,1
O:SPXW241101C05800000,1730230200000,70.42,70.42,70.42,70.42,1,1
O:SPXW241101C05800000,1730230500000,68.68,68.68,68.68,68.68,1,1
O:SPXW241101C05800000,1730231100000,68.53,68.53,68.53,68.53,1,1
O:SPXW241101C05800000,1730231700000,62.87,62.87,62.87,62.87,1,1
O:SPXW241101C05800000,1730232600000,69.8,69.8,69.8,69.8,4,2
O:SPXW241101C05800000,1730295000000,56.5,57.49,56.5,57.49,2,2
O:SPXW241101C05800000,1730295300000,55.8,55.8,53.08,53.08,2,2
O:SPXW241101C05800000,1730295600000,49.0,49.0,46.87,46.87,3,2
O:SPXW241101C05800000,1730295900000,52.0,52.0,52.0,52.0,6,1
O:SPXW241101C05800000,1730296200000,55.5,56.71,55.5,56.71,12,3
O:SPXW241101C05800000,1730296500000,59.53,59.53,59.53,59.53,1,1
O:SPXW241101C05800000,1730297100000,61.76,61.76,61.76,61.76,1,1
O:SPXW241101C05800000,1730298000000,65.3,65.3,65.3,65.3,2,1
O:SPXW241101C05800000,1730298300000,65.5,65.5,65.5,65.5,2,1
O:SPXW241101C05800000,1730299200000,65.24,65.24,65.24,65.24,2,1
O:SPXW241101C05800000,1730299800000,61.04,61.04,61.04,61.04,2,1
O:SPXW241101C05800000,1730300100000,62.2,62.2,62.2,62.2,1,1
O:SPXW241101C05800000,1730301300000,58.39,58.39,58.39,58.39,6,2
O:SPXW241101C05800000,1730301900000,65.78,65.78,65.63,65.63,21,2
O:SPXW241101C05800000,1730302200000,65.21,65.21,65.21,65.21,1,1
O:SPXW241101C05800000,1730303400000,69.3,69.3,69.08,69.08,6,2
O:SPXW241101C05800000,1730304000000,67.19,67.19,67.19,67.19,4,2
O:SPXW241101C05800000,1730304600000,65.65,65.65,65.65,65.65,1,1
O:SPXW241101C05800000,1730306400000,62.07,62.07,62.07,62.07,1,1
O:SPXW241101C05800000,1730306700000,62.1,62.1,62.09,62.09,25,2
O:SPXW241101C05800000,1730307000000,62.42,62.42,62.42,62.42,11,7
O:SPXW241101C05800000,1730307300000,60.38,60.38,60.38,60.38,2,1
O:SPXW241101C05800000,1730307600000,60.49,60.49,60.49,60.49,2,1
O:SPXW241101C05800000,1730309100000,58.32,58.32,58.32,58.32,6,1
O:SPXW241101C05800000,1730309700000,54.0,54.0,54.0,54.0,1,1
O:SPXW241101C05800000,1730310000000,52.27,52.55,52.27,52.55,11,2
O:SPXW241101C05800000,1730311200000,52.6,53.35,52.6,53.35,2,2
O:SPXW241101C05800000,1730311500000,53.5,53.5,53.5,53.5,5,1
O:SPXW241101C05800000,1730311800000,57.1,57.1,57.1,57.1,2,2
O:SPXW241101C05800000,1730312400000,56.5,56.5,56.5,56.5,1,1
O:SPXW241101C05800000,1730313000000,54.2,54.2,54.2,54.2,1,1
O:SPXW241101C05800000,1730313300000,54.3,54.3,54.05,54.05,3,2
O:SPXW241101C05800000,1730314800000,49.98,49.98,49.98,49.98,1,1
O:SPXW241101C05800000,1730315400000,51.6,52.59,51.6,52.59,8,4
O:SPXW241101C05800000,1730315700000,51.67,51.67,51.67,51.67,1,1
O:SPXW241101C05800000,1730317500000,47.89,47.89,47.89,47.89,2,1
O:SPXW241101C05800000,1730318100000,45.78,45.78,43.64,43.9,10,5
O:SPXW241101C05800000,1730318400000,44.69,46.2,43.89,46.2,707,5
O:SPXW241101C05800000,1730318700000,44.69,44.69,44.69,44.69,2800,4
O:SPXW241101C05800000,1730381400000,19.53,20.12,15.99,17.0,142,57
O:SPXW241101C05800000,1730381700000,17.1,18.1,16.69,17.82,258,70
O:SPXW241101C05800000,1730382000000,17.2,18.1,16.7,17.2,52,27
O:SPXW241101C05800000,1730382300000,15.48,15.6,12.2,12.2,107,56
O:SPXW241101C05800000,1730382600000,12.3,12.6,11.18,11.9,78,40
O:SPXW241101C05800000,1730382900000,11.7,13.8,11.7,12.5,74,39
O:SPXW241101C05800000,1730383200000,11.6,11.6,11.1,11.4,99,31
O:SPXW241101C05800000,1730383500000,11.1,11.1,10.2,10.22,63,37
O:SPXW241101C05800000,1730383800000,10.3,10.3,9.0,9.4,190,50
O:SPXW241101C05800000,1730384100000,9.3,11.0,9.3,10.5,168,50
O:SPXW241101C05800000,1730384400000,10.3,10.7,9.7,9.9,26,20
O:SPXW241101C05800000,1730384700000,9.8,9.8,7.55,8.1,60,36
O:SPXW241101C05800000,1730385000000,8.1,8.8,7.59,8.0,154,46
O:SPXW241101C05800000,1730385300000,8.0,8.3,7.8,7.8,86,26
O:SPXW241101C05800000,1730385600000,7.82,8.1,7.2,7.2,23,13
O:SPXW241101C05800000,1730385900000,7.35,7.61,6.4,6.5,166,47
O:SPXW241101C05800000,1730386200000,6.57,6.57,5.98,6.0,111,41
O:SPXW241101C05800000,1730386500000,5.95,6.2,5.7,6.13,103,33
O:SPXW241101C05800000,1730386800000,5.9,5.9,4.7,4.9,478,70
O:SPXW241101C05800000,1730387100000,4.8,6.1,4.77,5.72,214,54
O:SPXW241101C05800000,1730387400000,5.7,5.8,4.9,4.9,1154,39
O:SPXW241101C05800000,1730387700000,4.81,5.7,4.8,5.5,94,48
O:SPXW241101C05800000,1730388000000,5.4,6.0,5.3,5.5,291,68
O:SPXW241101C05800000,1730388300000,5.3,5.78,5.08,5.3,75,34
O:SPXW241101C05800000,1730388600000,5.3,5.9,4.93,5.1,254,35
O:SPXW241101C05800000,1730388900000,5.1,5.2,4.8,4.8,40,16
O:SPXW241101C05800000,1730389200000,4.7,5.0,4.58,5.0,1061,21
O:SPXW241101C05800000,1730389500000,4.8,4.9,4.42,4.5,32,19
O:SPXW241101C05800000,1730389800000,4.5,4.7,4.0,4.0,53,25
O:SPXW241101C05800000,1730390100000,4.3,4.9,4.1,4.9,67,24
O:SPXW241101C05800000,1730390400000,4.85,5.0,4.42,4.9,49,28
